name,track_name,track_stream_sum,track_rank
Argentina,Despacito (Featuring Daddy Yankee),53340691,1
Argentina,Me Rehúso,49869355,2
Argentina,Felices los 4,42412580,3
Australia,Shape of You,51946735,1
Australia,HUMBLE.,32822787,2
Australia,Despacito - Remix,31981918,3
Austria,Shape of You,5730722,1
Austria,More Than You Know,3495302,2
Austria,Thunder,3457163,3
Belgium,Shape of You,11255872,1
Belgium,Something Just Like This,5553700,2
Belgium,Despacito - Remix,4849099,3
"Bolivia, Plurinational State of",Me Rehúso,2647248,1
"Bolivia, Plurinational State of",Despacito (Featuring Daddy Yankee),2017089,2
"Bolivia, Plurinational State of",Shape of You,1866375,3
Brazil,Shape of You,97680541,1
Brazil,Hear Me Now,82232565,2
Brazil,Vidinha de Balada - Ao Vivo,74581269,3
Canada,Shape of You,47971559,1
Canada,Despacito - Remix,39103612,2
Canada,Unforgettable,38225774,3
Chile,Me Rehúso,43449451,1
Chile,Despacito (Featuring Daddy Yankee),35964516,2
Chile,Escápate Conmigo,32541945,3
Colombia,Me Rehúso,15677258,1
Colombia,Shape of You,14826643,2
Colombia,Despacito (Featuring Daddy Yankee),13708285,3
Costa Rica,Shape of You,7348470,1
Costa Rica,Me Rehúso,6838834,2
Costa Rica,Despacito (Featuring Daddy Yankee),6240589,3
Czech Republic,Shape of You,4313689,1
Czech Republic,Thunder,2520988,2
Czech Republic,Believer,2443774,3
Denmark,Shape of You,24456121,1
Denmark,Despacito - Remix,19643519,2
Denmark,Rica,12909514,3
Dominican Republic,Me Rehúso,2357385,1
Dominican Republic,Ahora Dice,2266450,2
Dominican Republic,Despacito (Featuring Daddy Yankee),2238624,3
Ecuador,Me Rehúso,6364823,1
Ecuador,Despacito (Featuring Daddy Yankee),5634758,2
Ecuador,Shape of You,5256420,3
El Salvador,Me Rehúso,2022375,1
El Salvador,Despacito (Featuring Daddy Yankee),1664230,2
El Salvador,Shape of You,1569087,3
Estonia,Shape of You,874398,1
Estonia,Something Just Like This,380450,2
Estonia,HUMBLE.,350231,3
Finland,Shape of You,15490841,1
Finland,Despacito - Remix,11610371,2
Finland,Antaudun,10907969,3
France,Shape of You,46245081,1
France,Réseaux,32676109,2
France,Θ. Macarena,28999946,3
Germany,Shape of You,97689020,1
Germany,Unforgettable,54295756,2
Germany,More Than You Know,54124456,3
Greece,Shape of You,1748346,1
Greece,Unforgettable,942153,2
Greece,rockstar,930932,3
Guatemala,Me Rehúso,3580907,1
Guatemala,Despacito (Featuring Daddy Yankee),2810067,2
Guatemala,Escápate Conmigo,2463078,3
Honduras,Me Rehúso,2226815,1
Honduras,Despacito (Featuring Daddy Yankee),1817926,2
Honduras,Shape of You,1791363,3
Hong Kong,Shape of You,5042866,1
Hong Kong,Something Just Like This,3867676,2
Hong Kong,Despacito - Remix,3104779,3
Hungary,Shape of You,3526256,1
Hungary,Believer,1990935,2
Hungary,It Ain't Me (with Selena Gomez),1856252,3
Iceland,Despacito - Remix,1585717,1
Iceland,Shape of You,1494071,2
Iceland,Fullir Vasar,1330802,3
Indonesia,Shape of You,21424856,1
Indonesia,Something Just Like This,16789482,2
Indonesia,Attention,14595753,3
Ireland,Shape of You,11480510,1
Ireland,Despacito - Remix,8211236,2
Ireland,Castle on the Hill,7229985,3
Italy,Shape of You,38335325,1
Italy,Despacito (Featuring Daddy Yankee),30775796,2
Italy,Something Just Like This,26588430,3
Japan,Shape of You,6690019,1
Japan,Something Just Like This,3440686,2
Japan,Stay (with Alessia Cara),3348525,3
Latvia,Shape of You,888066,1
Latvia,HUMBLE.,608115,2
Latvia,Thunder,563505,3
Lithuania,Shape of You,904314,1
Lithuania,Thunder,439591,2
Lithuania,Something Just Like This,422375,3
Luxembourg,Shape of You,544631,1
Luxembourg,Despacito (Featuring Daddy Yankee),257174,2
Luxembourg,Despacito - Remix,247378,3
Malaysia,Shape of You,11881558,1
Malaysia,Something Just Like This,8509038,2
Malaysia,Despacito - Remix,8335813,3
Mexico,Me Rehúso,129648745,1
Mexico,Despacito (Featuring Daddy Yankee),99837121,2
Mexico,Felices los 4,97391014,3
Netherlands,Shape of You,56167880,1
Netherlands,Krantenwijk,35161451,2
Netherlands,Energie,31616821,3
New Zealand,Shape of You,13242307,1
New Zealand,HUMBLE.,8457389,2
New Zealand,Despacito - Remix,8381463,3
Norway,Shape of You,31152940,1
Norway,Despacito - Remix,30053768,2
Norway,It Ain't Me (with Selena Gomez),24157944,3
Panama,Me Rehúso,2283534,1
Panama,Despacito (Featuring Daddy Yankee),2278461,2
Panama,Shape of You,2112146,3
Paraguay,Me Rehúso,3858867,1
Paraguay,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",3139056,2
Paraguay,Escápate Conmigo,2681547,3
Peru,Me Rehúso,21167030,1
Peru,Despacito (Featuring Daddy Yankee),18790229,2
Peru,Felices los 4,16597009,3
Philippines,Shape of You,57836288,1
Philippines,Say You Won't Let Go,48164020,2
Philippines,Versace On The Floor,44249855,3
Poland,Shape of You,16783834,1
Poland,Believer,9009974,2
Poland,Thunder,7619580,3
Portugal,Shape of You,8607798,1
Portugal,Despacito (Featuring Daddy Yankee),6289029,2
Portugal,Unforgettable,4641239,3
Singapore,Shape of You,15635592,1
Singapore,Something Just Like This,11165667,2
Singapore,Despacito - Remix,9445107,3
Slovakia,Shape of You,1266491,1
Slovakia,Thunder,758560,2
Slovakia,Something Just Like This,705922,3
Spain,Despacito (Featuring Daddy Yankee),76680279,1
Spain,Me Rehúso,67004877,2
Spain,Shape of You,60853374,3
Sweden,Shape of You,63869649,1
Sweden,Despacito - Remix,49631835,2
Sweden,Something Just Like This,34080940,3
Switzerland,Shape of You,9933459,1
Switzerland,Despacito (Featuring Daddy Yankee),6108742,2
Switzerland,Unforgettable,5107974,3
"Taiwan, Province of China",Shape of You,7767759,1
"Taiwan, Province of China",Something Just Like This,7428258,2
"Taiwan, Province of China",演員,5042165,3
Turkey,Shape of You,18442317,1
Turkey,Raf,10318229,2
Turkey,Despacito - Remix,10180451,3
United Kingdom,Shape of You,132102967,1
United Kingdom,Castle on the Hill,85825645,2
United Kingdom,Despacito - Remix,85279369,3
United States,HUMBLE.,339677217,1
United States,XO TOUR Llif3,316206696,2
United States,Congratulations,285451131,3
Uruguay,Despacito (Featuring Daddy Yankee),3583076,1
Uruguay,Me Rehúso,3083785,2
Uruguay,Shape of You,2839462,3
global,Shape of You,1490812208,1
global,Despacito - Remix,919199404,2
global,Despacito (Featuring Daddy Yankee),742841612,3
